Серьезность	Код	Описание	Проект	Файл	Строка	Состояние подавления	Подробности
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	296		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	297		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	298		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	299		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	300		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	301		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	302		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	303		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	304		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	305		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	306		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	307		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	308		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	309		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	310		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	311		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	313		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	314		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	315		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	316		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	317		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	318		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	319		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	320		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	321		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	322		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	323		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	324		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	325		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	326		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	327		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	328		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	329		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	330		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	331		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	332		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	333		
Ошибка (активно)	CS1513	Требуется "}"	CheatHunterBTR, CheatHunterBTR	C:\CheatHunterBTR\Program.cs	228		
Ошибка (активно)	CS1022	Требуется определение типа или пространства имен, либо признак конца файла.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	361		
